pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role2;city2;country2;institution2;speciality2
Hugo Bonin;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;1;1;0000-0002-9029-5564;1;1;0;0;0;0;0;0;1;Phd;QC;CA;UniversitÃ© du QuÃ©bec Ã  MontrÃ©al;Political Science
Sofia Papastamkou;10/04/2019;01/04/2022;3;16;1;0;0;0;2;13;2;17;0000-0002-5148-1348;1;1;1;0;0;0;1;1;1;None;None;None;None;None
FranÃ§ois Dominic LaramÃ©e;20/02/2018;10/06/2021;3;14;2;0;0;1;7;5;3;16;0000-0001-5542-3754;1;1;1;0;0;1;1;1;1;Post-doc;Ottawa;CA;University of Ottawa;Faculty of Medicine
Nicolas Frerebeau;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;1;0000-0001-5759-4944;1;1;0;0;0;1;0;0;0;None;None;None;None;None
Brice Lebrun;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;1;0000-0001-7503-8685;1;1;0;0;0;1;0;0;0;None;None;None;None;None
Guillaume Florent;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0002-4553-8993;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Lizzie Scholtus;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0001-8627-8991;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Marie-Anne Vibet;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0003-4003-3141;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Alix ChaguÃ©;01/07/2019;09/05/2020;1;3;0;0;0;0;2;0;1;3;0000-0002-0136-4434;1;1;0;0;0;0;1;0;1;None;None;None;None;None
Thomas Soubiran;15/01/2020;06/10/2021;1;2;0;0;0;0;1;0;1;2;0000-0001-8531-8488;1;1;0;0;0;0;1;0;1;None;None;None;None;None
Sylvain Machefert;01/07/2019;09/05/2020;1;3;0;0;0;0;1;0;2;3;0000-0001-9288-1754;1;1;0;0;0;0;1;0;1;None;None;None;None;None
FrÃ©dÃ©ric Clavert;06/07/2019;16/10/2019;0;1;1;0;0;0;2;0;0;2;0000-0002-0237-2532;1;1;1;0;0;0;1;0;0;None;None;None;None;None
DÃ©borah Dubald;10/04/2020;10/04/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-2128-0641;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Catherine Paulin;10/04/2020;10/04/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-3440-6039;1;1;0;0;0;0;1;0;0;None;None;None;None;None
CÃ©lian Ringwald;10/06/2021;10/09/2021;0;2;0;0;0;0;1;1;0;2;0000-0002-7302-9037;1;1;0;0;0;0;1;1;0;None;None;None;None;None
Antoine Gourlay;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;1;1;0000-0002-1016-213X;1;1;0;0;0;0;0;0;1;None;None;None;None;None
GwenaÃ«lle Patat;19/11/2021;19/11/2021;0;1;0;0;0;0;0;1;0;1;0000-0002-8520-3485;1;1;0;0;0;0;0;1;0;None;None;None;None;None
Floriane Chiffoleau;19/11/2021;19/11/2021;0;1;0;0;0;0;1;0;0;1;0000-0003-4482-7897;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Lucas Terriel;06/01/2021;06/01/2021;0;1;0;0;0;0;0;0;1;1;0000-0002-9189-258X;1;1;0;0;0;0;0;0;1;None;None;None;None;None
Marie-Christine Boucher;02/04/2020;10/06/2021;1;5;0;0;0;0;3;1;1;5;0000-0002-2475-3184;1;1;0;0;0;0;1;1;1;None;None;None;None;None
Matthias Gille Levenson;06/10/2021;06/10/2021;0;1;0;0;0;0;0;1;0;1;0000-0001-9488-5986;1;1;0;0;0;0;0;1;0;None;None;None;None;None
Alexandre Bartz;06/10/2021;06/10/2021;0;1;0;0;0;0;1;0;0;1;0000-0003-0850-8266;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Antoine Courtin;09/05/2020;09/05/2020;0;1;0;0;0;0;1;0;0;1;0000-0003-0275-5143;1;1;0;0;0;0;1;0;0;Chef du service numÃ©rique de la recherche;Paris;FR;" ""Institut National d'Histoire de l'Art""";DÃ©partement des Ã©tudes et de la recherche
Vincent Paillusson;01/04/2022;01/04/2022;0;1;0;0;0;1;0;0;0;1;0000-0003-1286-3893;1;1;0;0;0;1;0;0;0;None;None;None;None;None
Manon Durier;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;1;0000-0001-5318-9167;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Viera Rebolledo-Dhuin;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;1;0000-0002-4903-1372;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Antoine Henry;10/06/2021;01/04/2022;1;2;0;0;0;0;1;1;0;2;0000-0003-4722-4610;1;1;0;0;0;0;1;1;0;None;None;None;None;None
Isabelle Gribomont;03/05/2019;03/05/2019;0;1;0;0;0;0;1;0;0;1;0000-0001-7443-5849;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Marie Puren;10/04/2019;30/07/2020;1;2;0;0;0;0;2;0;0;2;0000-0001-5452-3913;1;1;0;0;0;0;1;0;0;Post-doc;Lyon;FR;CNRS;LARHRA
Florian Cafiero;02/04/2020;02/04/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-1951-6942;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Martin Grandjean;16/01/2020;16/01/2020;0;1;0;0;0;0;1;0;0;1;0000-0003-3184-3943;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Arthur Perret;09/09/2020;09/09/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-4130-6669;1;1;0;0;0;0;1;0;0;None;None;None;None;None
Matthew J. Lavin;13/05/2019;13/05/2019;0;0;1;0;0;1;0;0;0;1;0000-0003-3867-9138;1;0;1;0;0;1;0;0;0;Clinical Assistant Professor and Director of Digital Media Lab;Pittsburgh;US;University of Pittsburgh;English
Quinn Dombrowski;13/05/2019;08/12/2019;0;0;2;0;0;1;1;0;0;2;0000-0001-5802-6623;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Zoe LeBlanc;27/07/2018;13/05/2019;1;0;3;0;0;0;2;1;0;3;0000-0003-2012-8805;1;0;1;0;0;0;1;1;0;None;None;None;None;None
Nick Ruest;13/09/2013;29/08/2017;4;0;3;0;0;0;3;0;0;3;0000-0003-1891-1112;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Konrad Lawson;13/09/2013;13/09/2013;0;0;1;0;0;0;1;0;0;1;0000-0002-0276-8078;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Ian Milligan;27/06/2012;27/07/2018;6;0;14;0;0;4;0;10;0;14;0000-0002-1470-7723;1;0;1;0;0;1;0;1;0;Intern;Toronto;CA;University of Toronto;Faculty of Information Studies
AurÃ©lien Berra;27/06/2012;27/06/2012;0;0;1;0;0;0;1;0;0;1;0000-0002-1695-8497;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Adam Crymble;27/06/2012;22/05/2019;7;0;46;0;17;20;5;38;0;63;0000-0003-4343-0265;1;0;1;0;1;1;1;1;0;Senior Lecturer;Hatfield;GB;University of Hertfordshire;History
Taylor Arnold;27/03/2017;05/05/2020;3;0;4;0;0;1;3;0;0;4;0000-0002-3575-1512;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Lauren Tilton;27/03/2017;20/08/2018;1;0;3;0;0;1;2;0;0;3;0000-0003-4629-8888;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Brandon Walsh;05/08/2016;04/12/2021;5;0;11;0;0;2;1;8;0;11;0000-0002-2785-3519;1;0;1;0;0;1;1;1;0;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;Lexington;US;Washington and Lee University;University of Virginia
John Russell;05/09/2016;27/03/2017;1;0;2;0;0;0;2;0;0;2;0000-0002-7998-940X;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jeri Wieringa;21/07/2016;08/12/2019;3;0;5;0;0;0;1;4;0;5;0000-0002-9364-2808;1;0;1;0;0;0;1;1;0;Phd;Fairfax;US;George Mason University;History and Art History
Brad Rittenhouse;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;1;0000-0002-0669-8724;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Courtney Allen;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;1;0000-0002-5750-5988;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Telmo Menezes;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;1;0000-0001-7204-6428;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Amanda Visconti;18/04/2016;23/11/2020;4;0;3;0;0;2;0;1;0;3;0000-0001-8584-8323;1;0;1;0;0;1;0;1;0;None;None;None;None;None
Paige Morgan;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;1;0000-0001-8076-7356;1;0;1;0;0;0;1;0;0;Digital Humanities Librarian;Coral Gables;US;University of Miami;University of Miami Libraries
Seth van Hooland;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;1;0000-0003-2612-2228;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Ruben Verborgh;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;1;0000-0002-8596-222X;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Max De Wilde;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;1;0000-0002-6834-0250;1;0;1;0;0;1;0;0;0;Phd;Brussels;BE;UniversitÃ© Libre de Bruxelles;Information Science
Patrick Burns;22/06/2013;08/12/2019;6;0;3;0;0;0;3;0;0;3;0000-0003-2158-866X;1;0;1;0;0;0;1;0;0;Phd;Bronx;US;Fordham University;Classics
Melanie Walsh;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;1;0000-0003-4558-3310;1;0;1;0;0;0;1;0;0;None;None;None;None;None
William J. Turkel;17/07/2012;17/12/2014;2;0;20;0;0;17;1;2;0;20;0000-0003-4734-9894;1;0;1;0;0;1;1;1;0;None;None;None;None;None
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;22;0000-0003-2004-5161;1;0;1;0;0;1;1;0;0;None;None;None;None;None
M. Willis Monroe;23/11/2020;23/11/2020;0;0;1;0;0;0;1;0;0;1;0000-0002-9126-2991;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;4;0000-0003-4981-1587;1;0;1;0;0;0;0;1;0;None;None;None;None;None
John R. Ladd;23/08/2017;05/05/2020;3;0;2;0;0;2;0;0;0;2;0000-0002-5440-062X;1;0;1;0;0;1;0;0;0;Post-doc;Evanston;US;Northwestern University;Alice Kaplan Institute for the Humanities
Sarah Connell;05/05/2020;05/05/2020;0;0;1;0;0;0;1;0;0;1;0000-0001-9202-5798;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Heather Froehlich;19/06/2015;19/06/2015;0;0;1;0;0;1;0;0;0;1;0000-0001-9984-725X;1;0;1;0;0;1;0;0;0;Phd;Glasgow;GB;University of Strathclyde;English
Rob Sieczkiewicz;19/06/2015;19/06/2015;0;0;1;0;0;0;1;0;0;1;0000-0002-4429-136X;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Ryan Deschamps;31/07/2017;04/11/2018;1;0;6;0;0;1;5;0;0;6;0000-0001-7934-6845;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Sandra van Ginhoven;13/09/2017;13/09/2017;0;0;1;0;0;0;1;0;0;1;0000-0001-6785-0809;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Matthew Lincoln;24/05/2016;04/11/2018;2;0;4;0;0;1;1;2;0;4;0000-0002-4387-3384;1;0;1;0;0;1;1;1;0; None;Los Angeles;US;Getty Research Institute; None
Frederik Elwert;17/07/2012;01/12/2015;3;0;10;0;0;0;10;0;0;10;0000-0001-9149-9377;1;0;1;0;0;0;1;0;0;Phd;Bochum;DE;Ruhr-Universitat Bochum; None
Megan R. Brett;24/02/2016;24/02/2016;0;0;1;0;0;1;0;0;0;1;0000-0002-7474-7196;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Sheila Brennan;24/02/2016;24/02/2016;0;0;1;0;0;0;1;0;0;1;0000-0002-7883-2996;1;0;1;0;0;0;1;0;0;Associate Director;Fairfax;US;George Mason University;Roy Rosenzweig Center for History and New Media
Megan Kudzia;02/04/2018;17/05/2021;3;0;2;0;0;0;2;0;0;2;0000-0003-0900-6823;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jason Crider;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;1;0000-0003-2897-2090;1;0;1;0;0;0;1;0;0;Graduate Research Fellow;Gainesville;US;University of Florida;English
Sean Morey;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-8409-6091;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Marten DÃ¼ring;18/02/2015;18/02/2015;0;0;1;0;0;1;0;0;0;1;0000-0001-7411-771X;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Ryan Cordell;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;1;0000-0002-4345-0533;1;0;1;0;0;0;1;0;0;Associate Professor;Boston;US;Northeastern University;English
Halle Burns;17/05/2021;17/05/2021;0;0;1;0;0;1;0;0;0;1;0000-0003-2346-2876;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Brandon Locke;17/05/2021;17/05/2021;0;0;1;0;0;0;1;0;0;1;0000-0001-8531-3927;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Matteo Romanello;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;1;0000-0002-7406-6286;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Simon Hengchen;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;1;0000-0002-8453-7221;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Anna-Maria Sichani;18/03/2019;11/02/2022;3;0;5;0;0;0;0;5;0;5;0000-0001-6778-4610;1;0;1;0;0;0;0;1;0;None;None;None;None;None
Sharon Howard;11/11/2012;30/04/2014;2;0;2;0;0;0;2;0;0;2;0000-0002-6051-6274;1;0;1;0;0;0;1;0;0;Project Manager;Sheffield;GB;University of Sheffield;Digital Humanities Institute
Joanna Swafford;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;1;0000-0003-4125-2813;1;0;1;0;0;0;1;0;0;Assistant Professor;New Paltz;US;SUNY New Paltz Department of English;English
Jessica Otis;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0001-5519-8331;1;0;1;0;0;1;0;0;0;Digital Humanities Specialist;Pittsburgh;US;Carnegie Mellon University;University Libraries
Christopher N. Warren;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-9881-682X;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Scott Weingart;02/09/2012;23/08/2017;5;0;2;0;0;2;0;0;0;2;0000-0001-9792-9446;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Elisa Beshero-Bondar;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;1;0000-0002-1709-2314;1;0;1;0;0;0;1;0;0;Associate Professor;Greensburg;US;University of Pittsburgh at Greensburg;Humanities Division
Qiwei Li;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;1;0000-0002-1020-3050;1;0;1;0;0;0;1;0;0;Assistant Professor;Dallas;US;University of Texas Southwestern Medical Center;Medical Center
Stephen Krewson;14/01/2019;14/01/2019;0;0;1;0;0;1;0;0;0;1;0000-0002-6086-0649;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Catherine DeRose;22/11/2016;30/01/2020;4;0;3;0;0;0;3;0;0;3;0000-0002-0384-7704;1;0;1;0;0;0;1;0;0;Outreach and Engagement Manager;New Haven;US;Yale University;Digital Humanities Lab
Evan Peter Williamson;12/08/2017;12/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-7990-9924;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Peggy Griesinger;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;1;0000-0003-2771-5367;1;0;1;0;0;0;1;0;0;Metadata & Cataloging Librarian;Fairfax;US;George Mason University;University Libraries
Susan Grunewald;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;1;0000-0003-1275-4101;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Andrew Janco;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;1;0000-0002-8872-9474;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Randa El Khatib;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;1;0000-0002-2480-4746;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Brandon Hawk;25/11/2014;25/11/2014;0;0;1;0;0;0;1;0;0;1;0000-0002-5406-8807;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Justin Colson;27/01/2017;27/01/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-4352-2154;1;0;1;0;0;1;0;0;0;Lecturer;Colchester;GB;University of Essex;History
Adam Dennett;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;1;0000-0003-2742-5968;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Beatrice Alex;31/10/2017;31/10/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-7279-1476;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Anouk Lang;31/10/2017;31/10/2017;0;0;1;0;0;0;1;0;0;1;0000-0001-9597-1026;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Sarah Simpkin;13/12/2013;31/10/2017;4;0;4;0;0;1;3;0;0;4;0000-0003-0774-4777;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Josh MacFadyen;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;4;0000-0002-1568-8843;1;0;1;0;0;1;0;0;0;None;None;None;None;None
