pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role2;city2;country2;institution2;speciality2
Daniel Macfarlane;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;4;0000-0001-6268-8945;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Finn Arne JÃ¸rgensen;13/12/2013;13/12/2013;0;0;4;0;0;0;4;0;0;4;0000-0003-3696-4189;1;0;1;0;0;0;1;0;0;Associate Professor;UmeÃ¥;SE;UmeÃ¥ University;Department of Historical, Philosophical, and Religious Studies
Peter Webster;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;2;0000-0001-6801-0852;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Abby Schreiber;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;2;0000-0003-2350-049X;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Eric Weinberg;20/08/2018;20/08/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-3311-1060;1;0;1;0;0;1;0;0;0;None;None;None;None;None
John Fink;02/09/2012;13/11/2015;3;0;2;0;0;0;2;0;0;2;0000-0001-5301-5626;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Nancy Lemay;13/11/2015;13/11/2015;0;0;1;0;0;0;1;0;0;1;0000-0003-0311-5252;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jeff Blackadar;03/05/2018;03/05/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-8160-0942;1;0;1;0;0;1;0;0;0;Bachelor;Ottawa;CA;Carleton University;History
Simon Appleford;03/05/2018;03/05/2018;0;0;1;0;0;0;1;0;0;1;0000-0003-2192-7860;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Oliver Duke-Williams;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;1;0000-0001-8050-1881;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jonathan Reeve;24/07/2016;24/07/2016;0;0;1;0;0;1;0;0;0;1;0000-0003-2827-1569;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Ben Hurwitz;06/05/2013;06/05/2013;0;0;1;0;0;0;1;0;0;1;0000-0003-2670-6514;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Gabi Kirilloff;04/12/2021;04/12/2021;0;0;1;0;0;1;0;0;0;1;0000-0003-2696-1419;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Shawn Graham;02/09/2012;04/12/2021;9;0;6;0;0;3;3;0;0;6;0000-0002-2887-3554;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Allison Hegel;20/09/2014;20/09/2014;0;0;2;0;0;0;2;0;0;2;0000-0001-7750-7246;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Charlotte Tupman;20/09/2014;20/09/2014;0;0;1;0;0;0;1;0;0;1;0000-0002-4211-1062;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jonathan Blaney;07/07/2016;07/05/2017;1;0;2;0;0;1;1;0;0;2;0000-0002-5044-5038;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Terhi Nurmikko-Fuller;07/05/2017;07/05/2017;0;0;1;0;0;0;1;0;0;1;0000-0002-0688-3006;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Ted Dawson;21/07/2016;21/07/2016;0;0;1;0;0;1;0;0;0;1;0000-0002-9192-6233;1;0;1;0;0;1;0;0;0;Phd;Nashville;US;Vanderbilt University;German
Erin N. Bush;21/07/2016;24/04/2017;1;0;2;0;0;0;2;0;0;2;0000-0002-5958-9038;1;0;1;0;0;0;1;0;0;Phd;Fairfax;US;George Mason University;History & Art History
Lee Skallerup Bessette;29/08/2017;29/08/2017;0;0;1;0;0;0;1;0;0;1;0000-0002-0827-3420;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Dave Rodriguez;20/12/2018;11/12/2020;2;0;1;0;1;1;0;0;1;2;0000-0001-9759-8464;1;0;1;0;1;1;0;0;1;None;None;None;None;None
Go Sugimoto;22/05/2019;22/05/2019;0;0;1;0;0;1;0;0;0;1;0000-0003-2646-6784;1;0;1;0;0;1;0;0;0; None;Vienna;AT;Austrian Academy of Sciences;Austrian Center for Digital Humanities
Amber Stubbs;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;1;0000-0001-6148-9290;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Brianna Allen;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;1;0000-0002-0824-4048;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Folgert Karsdorp;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-5958-0551;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jan Rybicki;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;1;0000-0003-2504-9372;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Antonio Rojas Castro;15/03/2017;11/12/2020;3;0;1;0;45;0;30;15;1;46;0000-0002-8916-4997;1;0;1;0;1;0;1;1;1; None;Koln;DE;UniversitÃ¤t zu KÃ¶ln;Cologne Center for eHumanities
Tassie Gniady;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;1;0000-0001-8693-3677;1;0;1;0;0;1;0;0;0;None;None;None;None;None
David Kloster;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;1;0000-0001-8577-8409;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Kim Pham;29/08/2017;29/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-9115-4739;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Vilja Hulden;17/12/2014;17/12/2014;0;0;1;0;0;1;0;0;0;1;0000-0002-3812-7010;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Francesca Benatti;17/07/2012;17/07/2012;0;0;1;0;0;0;1;0;0;1;0000-0002-1456-7812;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Andrew Akhlaghi;06/01/2021;06/01/2021;0;0;1;0;0;1;0;0;0;1;0000-0002-0824-3328;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Clemens Neudecker;06/01/2021;06/01/2021;0;0;1;0;0;0;1;0;0;1;0000-0001-5293-8322;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Gustavo Candela;06/01/2021;30/08/2021;0;0;1;0;1;1;1;0;0;2;0000-0001-6122-0777;1;0;1;0;1;1;1;0;0;None;None;None;None;None
Jane Winters;30/04/2014;30/04/2014;0;0;1;0;0;0;1;0;0;1;0000-0001-5502-5887;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Puteri Zarina Megat Khalid;15/01/2018;15/01/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-9296-8662;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jeff Veitch;07/06/2016;07/06/2016;0;0;1;0;0;0;1;0;0;1;0000-0002-0287-7493;1;0;1;0;0;0;1;0;0;MPhil;Canterbury;GB;University of Kent;Classical and Archaeological Studies
Grant Wythoff;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;1;0000-0002-6605-9596;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Alex Brey;04/11/2018;04/11/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-3201-8462;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Peter Organisciak;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;1;0000-0002-9058-2280;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Tessa C Hauswedell;07/07/2016;07/07/2016;0;0;1;0;0;0;1;0;0;1;0000-0002-0734-3538;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Seth Bernstein;04/10/2013;04/10/2013;0;0;1;0;0;1;0;0;0;1;0000-0001-5116-3828;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Jason Heppler;24/04/2017;24/04/2017;0;0;1;0;0;0;1;0;0;1;0000-0003-4158-6186;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Charlie Harper;27/07/2018;27/07/2018;0;0;1;0;0;1;0;0;0;1;0000-0003-3781-5812;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Ben Schmidt;27/07/2018;27/07/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-8263-5485;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Moritz MÃ¤hr;30/01/2020;30/01/2020;0;0;1;0;0;1;0;0;0;1;0000-0002-1367-1618;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Caio Mello;14/06/2021;14/06/2021;0;0;0;1;0;0;0;0;1;1;0000-0001-7492-7237;1;0;0;1;0;0;0;0;1;None;None;None;None;None
Josir Cardoso Gomes;26/03/2021;14/06/2021;0;0;0;3;0;0;1;2;0;3;0000-0001-7629-1404;1;0;0;1;0;0;1;1;0;Phd;Rio de Janeiro;BR;Instituto Brasileiro de InformaÃ§Ã£o em CiÃªncia e Tecnologia;PPGCI/UFRJ
Bruno Ponne;14/06/2021;14/06/2021;0;0;0;1;0;0;1;0;0;1;0000-0002-3057-932X;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Ian Araujo;14/06/2021;02/03/2022;1;0;0;4;0;0;4;0;0;4;0000-0001-6359-4991;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Jimmy Medeiros;26/03/2021;02/03/2022;1;0;0;10;0;0;0;10;0;10;0000-0002-8280-3338;1;0;0;1;0;0;0;1;0;None;None;None;None;None
Joana Vieira Paulino;29/01/2021;13/01/2022;1;0;0;6;0;0;3;3;0;6;0000-0002-9433-2799;1;0;0;1;0;0;1;1;0;None;None;None;None;None
Luis Ferla;30/03/2021;30/03/2021;0;0;0;1;0;0;1;0;0;1;0000-0003-3617-2560;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Felipe Lamarca;26/03/2021;13/01/2022;1;0;0;7;0;0;3;0;4;7;0000-0003-0002-3627;1;0;0;1;0;0;1;0;1;None;None;None;None;None
Bruno Martins;30/03/2021;13/05/2021;0;0;0;7;0;0;7;0;0;7;0000-0002-8102-9416;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Renato Rocha Souza;13/05/2021;13/05/2021;0;0;0;5;0;0;5;0;0;5;0000-0002-1895-3905;1;0;0;1;0;0;1;0;0;None;None;None;None;None
JoÃ£o Gilberto Neves Saraiva;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;1;1;0000-0002-2094-8216;1;0;0;1;0;0;0;0;1;None;None;None;None;None
RÃ´mulo Predes;12/05/2021;13/07/2021;0;0;0;3;0;0;3;0;0;3;0000-0001-9461-7834;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Mariana Affonso Penna;10/09/2021;10/09/2021;0;0;0;1;0;0;0;0;1;1;0000-0001-5415-795X;1;0;0;1;0;0;0;0;1;None;None;None;None;None
Aracele Torres;12/05/2021;13/05/2021;0;0;0;2;0;0;0;0;2;2;0000-0002-5240-060X;1;0;0;1;0;0;0;0;1;None;None;None;None;None
Ivo Veiga;21/05/2021;28/08/2021;0;0;0;2;0;0;2;0;0;2;0000-0001-8385-3030;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Romulo Predes;28/08/2021;28/08/2021;0;0;0;1;0;0;1;0;0;1;0000-0001-9461-7834;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Suemi Higuchi;21/05/2021;21/05/2021;0;0;0;1;0;0;1;0;0;1;0000-0002-6255-3781;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Samuel Van Ransbeeck;26/03/2021;26/03/2021;0;0;0;1;0;0;1;0;0;1;0000-0001-6959-6605;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Juliana Marques da Silva;26/03/2021;26/03/2021;0;0;0;1;0;0;1;0;0;1;0000-0002-1637-8505;1;0;0;1;0;0;1;0;0;None;None;None;None;None
Jennifer Isasi;15/03/2018;16/11/2021;3;0;0;0;19;1;8;6;4;19;0000-0002-4295-895X;1;0;0;0;1;1;1;1;1;CLIR/DLF Postdoctoral Fellow in Data Curation for Latin American and Latina/o Studies;Austin;US;University of Texas at Austin;LLILAS Benson Latin American Studies and Collections
Victor Gayol;02/06/2018;05/06/2020;2;0;0;0;4;0;1;2;1;4;0000-0002-2442-3193;1;0;0;0;1;0;1;1;1;None;None;None;None;None
Riva Quiroga;13/05/2018;11/04/2022;4;0;0;0;7;0;5;1;1;7;0000-0002-1147-4135;1;0;0;0;1;0;1;1;1;None;None;None;None;None
Carlos Manuel VarÃ³n CastaÃ±eda;04/05/2018;04/05/2018;0;0;0;0;1;0;0;0;1;1;0000-0001-9581-5007;1;0;0;0;1;0;0;0;1;None;None;None;None;None
Basthian Medina;28/06/2021;11/04/2022;1;0;0;0;2;0;1;0;1;2;0000-0001-5822-5112;1;0;0;0;1;0;1;0;1;None;None;None;None;None
JosÃ© Antonio Motilla;26/04/2017;11/04/2022;5;0;0;0;10;0;6;3;1;10;0000-0003-0591-5560;1;0;0;0;1;0;1;1;1;None;None;None;None;None
Maria JosÃ© Afanador-Llach;15/03/2017;30/08/2021;4;0;0;0;32;0;21;9;2;32;0000-0003-2652-5799;1;0;0;0;1;0;1;1;1;None;None;None;None;None
Antonio SÃ¡nchez-Padial;13/05/2018;23/04/2019;1;0;0;0;2;0;2;0;0;2;0000-0001-9532-3133;1;0;0;0;1;0;1;0;0;None;None;None;None;None
MarÃ­a JosÃ© Afanador-Llach;30/03/2020;30/03/2020;0;0;0;0;1;0;1;0;0;1;0000-0003-2652-5799;1;0;0;0;1;0;1;0;0;None;None;None;None;None
VÃ­ctor Gayol;15/03/2017;30/08/2021;4;0;0;0;28;0;3;1;24;28;0000-0002-2442-3193;1;0;0;0;1;0;1;1;1;None;None;None;None;None
Jairo A. Melo;15/03/2017;07/10/2017;0;0;0;0;20;0;19;0;1;20;0000-0002-8174-4524;1;0;0;0;1;0;1;0;1;None;None;None;None;None
Armando Luza;01/04/2019;01/04/2019;0;0;0;0;1;1;0;0;0;1;0000-0001-5679-7360;1;0;0;0;1;1;0;0;0;None;None;None;None;None
Ignacio RodrÃ­guez;01/04/2019;01/04/2019;0;0;0;0;1;0;1;0;0;1;0000-0002-3752-9536;1;0;0;0;1;0;1;0;0;None;None;None;None;None
Joseba Moreno;23/04/2018;20/08/2018;0;0;0;0;2;0;2;0;0;2;0000-0002-6756-4404;1;0;0;0;1;0;1;0;0;None;None;None;None;None
Joshua Ortiz-Baco;29/11/2018;29/11/2018;0;0;0;0;1;0;1;0;0;1;0000-0002-9723-4262;1;0;0;0;1;0;1;0;0;None;None;None;None;None
JosÃ© Calvo Tello;20/04/2017;20/04/2017;0;0;0;0;1;0;1;0;0;1;0000-0002-1129-5604;1;0;0;0;1;0;1;0;0;None;None;None;None;None
AndrÃ©s Gattinoni;15/03/2018;15/03/2018;0;0;0;0;1;0;0;0;1;1;0000-0001-6741-6746;1;0;0;0;1;0;0;0;1;Phd;Buenos Aires;AR;Universidad de Buenos Aires;Facultad de FilosofÃ­a y Letras
Antonio JesÃºs SÃ¡nchez Padial;29/07/2017;29/07/2017;0;0;0;0;1;0;1;0;0;1;0000-0001-9532-3133;1;0;0;0;1;0;1;0;0;Jefe de Servicio de BiometrÃ­a;Madrid;ES;INIA;SubdirecciÃ³n General de InvestigaciÃ³n y TecnologÃ­a
Joshua G. Ortiz Baco;31/10/2018;14/12/2021;3;0;0;0;4;1;1;2;0;4;0000-0002-9723-4262;1;0;0;0;1;1;1;1;0;Graduate Research Assistant, Digital Scholarship Lab Manager;Austin;US;University of Texas at Austin;LLILAS Benson Latin American Digital Initiatives
Juan Cobo;31/07/2017;31/07/2017;0;0;0;0;1;0;1;0;0;1;0000-0003-4776-0261;1;0;0;0;1;0;1;0;0;None;None;None;None;None
NicolÃ¡s Vaughan;27/07/2021;16/11/2021;0;0;0;0;2;2;0;0;0;2;0000-0002-2877-0539;1;0;0;0;1;1;0;0;0;None;None;None;None;None
RocÃ­o MÃ©ndez;27/07/2021;27/07/2021;0;0;0;0;1;0;1;0;0;1;0000-0002-8801-636X;1;0;0;0;1;0;1;0;0;None;None;None;None;None
IÃ±aki Cano;27/07/2021;27/07/2021;0;0;0;0;1;0;1;0;0;1;0000-0002-6678-7606;1;0;0;0;1;0;1;0;0;None;None;None;None;None
David Merino Recalde;16/11/2021;16/11/2021;0;0;0;0;1;0;1;0;0;1;0000-0003-2740-7831;1;0;0;0;1;0;1;0;0;None;None;None;None;None
MarÃ­a-JesÃºs Colmenero-Ruiz;17/05/2017;02/06/2018;1;0;0;0;2;0;0;0;2;2;0000-0002-1650-1091;1;0;0;0;1;0;0;0;1;None;None;None;None;None
Maria Jose Afanador;02/06/2018;02/06/2018;0;0;0;0;1;0;1;0;0;1;0000-0003-2652-5799;1;0;0;0;1;0;1;0;0;None;None;None;None;None
Anthony PicÃ³n RodrÃ­guez;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;1;0000-0001-6765-4146;1;0;0;0;1;1;0;0;0;None;None;None;None;None
Miguel Cuadros;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;1;0000-0001-7526-1166;1;0;0;0;1;1;0;0;0;None;None;None;None;None
Gimena del RÃ­o Riande;14/12/2021;14/12/2021;0;0;0;0;1;1;0;0;0;1;0000-0002-8997-5415;1;0;0;0;1;1;0;0;0;None;None;None;None;None
Melissa Jerome;14/12/2021;14/12/2021;0;0;0;0;1;0;1;0;0;1;0000-0001-8251-7131;1;0;0;0;1;0;1;0;0;Project Manager;Gainesville;US;University of Florida;George A. Smathers Libraries
MarÃ­a Pilar Escobar;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;1;0000-0002-8977-7873;1;0;0;0;1;1;0;0;0;None;None;None;None;None
Manuel Marco Such;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;1;0000-0002-4145-0521;1;0;0;0;1;1;0;0;0;None;None;None;None;None
Gimena del Rio Riande;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;1;0000-0002-8997-5415;1;0;0;0;1;0;0;0;1;None;None;None;None;None
Romina De LeÃ³n;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;1;0000-0003-2495-7213;1;0;0;0;1;0;0;0;1;None;None;None;None;None
Raffaele Viglianti;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;1;0000-0003-3094-139X;1;0;0;0;1;0;0;0;1;None;None;None;None;None
Kahlila Chaar-PÃ©rez;01/03/2021;01/03/2021;0;0;0;0;1;0;1;0;0;1;0000-0001-7038-5450;1;0;0;0;1;0;1;0;0;None;None;None;None;None
Mathilda Shepard;01/03/2021;01/03/2021;0;0;0;0;1;0;1;0;0;1;0000-0002-3416-448X;1;0;0;0;1;0;1;0;0;None;None;None;None;None
Ulrike Henny-Krahmer;31/10/2018;31/10/2018;0;0;0;0;1;0;0;0;1;1;0000-0003-2852-065X;1;0;0;0;1;0;0;0;1;Research Assistant;Wurzburg;DE;University of WÃ¼rzburg;Chair of Computational Philology
Marcelo Raimundo;28/06/2021;28/06/2021;0;0;0;0;1;1;0;0;0;1;0000-0002-0200-6399;1;0;0;0;1;1;0;0;0;None;None;None;None;None
