name;orcid_id
Hugo Bonin;0000-0002-9029-5564
Sofia Papastamkou;0000-0002-5148-1348
François Dominic Laramée;0000-0001-5542-3754
Nicolas Frerebeau;0000-0001-5759-4944
Brice Lebrun;0000-0001-7503-8685
Guillaume Florent;0000-0002-4553-8993
Lizzie Scholtus;0000-0001-8627-8991
Marie-Anne Vibet;0000-0003-4003-3141
Alix Chagué;0000-0002-0136-4434
Thomas Soubiran;0000-0001-8531-8488
Sylvain Machefert;0000-0001-9288-1754
Frédéric Clavert;0000-0002-0237-2532
Déborah Dubald;0000-0002-2128-0641
Catherine Paulin;0000-0002-3440-6039
Célian Ringwald;0000-0002-7302-9037
Antoine Gourlay;0000-0002-1016-213X
Gwenaëlle Patat;0000-0002-8520-3485
Floriane Chiffoleau;0000-0003-4482-7897
Lucas Terriel;0000-0002-9189-258X
Marie-Christine Boucher;0000-0002-2475-3184
Matthias Gille Levenson;0000-0001-9488-5986
Alexandre Bartz;0000-0003-0850-8266
Antoine Courtin;0000-0003-0275-5143
Vincent Paillusson;0000-0003-1286-3893
Manon Durier;0000-0001-5318-9167
Viera Rebolledo-Dhuin;0000-0002-4903-1372
Antoine Henry;0000-0003-4722-4610
Isabelle Gribomont;0000-0001-7443-5849
Marie Puren;0000-0001-5452-3913
Florian Cafiero;0000-0002-1951-6942
Martin Grandjean;0000-0003-3184-3943
Arthur Perret;0000-0002-4130-6669
Matthew J. Lavin;0000-0003-3867-9138
Quinn Dombrowski;0000-0001-5802-6623
Zoe LeBlanc;0000-0003-2012-8805
Nick Ruest;0000-0003-1891-1112
Konrad Lawson;0000-0002-0276-8078
Ian Milligan;0000-0002-1470-7723
Aurélien Berra;0000-0002-1695-8497
Adam Crymble;0000-0003-4343-0265
Taylor Arnold;0000-0002-3575-1512
Lauren Tilton;0000-0003-4629-8888
Brandon Walsh;0000-0002-2785-3519
John Russell;0000-0002-7998-940X
Jeri Wieringa;0000-0002-9364-2808
Brad Rittenhouse;0000-0002-0669-8724
Courtney Allen;0000-0002-5750-5988
Telmo Menezes;0000-0001-7204-6428
Amanda Visconti;0000-0001-8584-8323
Paige Morgan;0000-0001-8076-7356
Seth van Hooland;0000-0003-2612-2228
Ruben Verborgh;0000-0002-8596-222X
Max De Wilde;0000-0002-6834-0250
Patrick Burns;0000-0003-2158-866X
Melanie Walsh;0000-0003-4558-3310
William J. Turkel;0000-0003-4734-9894
Jim Clifford;0000-0003-2004-5161
M. Willis Monroe;0000-0002-9126-2991
Jessica Parr;0000-0003-4981-1587
John R. Ladd;0000-0002-5440-062X
Sarah Connell;0000-0001-9202-5798
Heather Froehlich;0000-0001-9984-725X
Rob Sieczkiewicz;0000-0002-4429-136X
Ryan Deschamps;0000-0001-7934-6845
Sandra van Ginhoven;0000-0001-6785-0809
Matthew Lincoln;0000-0002-4387-3384
Frederik Elwert;0000-0001-9149-9377
Megan R. Brett;0000-0002-7474-7196
Sheila Brennan;0000-0002-7883-2996
Megan Kudzia;0000-0003-0900-6823
Jason Crider;0000-0003-2897-2090
Sean Morey;0000-0002-8409-6091
Marten Düring;0000-0001-7411-771X
Ryan Cordell;0000-0002-4345-0533
Halle Burns;0000-0003-2346-2876
Brandon Locke;0000-0001-8531-3927
Matteo Romanello;0000-0002-7406-6286
Simon Hengchen;0000-0002-8453-7221
Sharon Howard;0000-0002-6051-6274
Joanna Swafford;0000-0003-4125-2813
Jessica Otis;0000-0001-5519-8331
Christopher N. Warren;0000-0002-9881-682X
Scott Weingart;0000-0001-9792-9446
Elisa Beshero-Bondar;0000-0002-1709-2314
Qiwei Li;0000-0002-1020-3050
Stephen Krewson;0000-0002-6086-0649
Catherine DeRose;0000-0002-0384-7704
Evan Peter Williamson;0000-0002-7990-9924
Peggy Griesinger;0000-0003-2771-5367
Susan Grunewald;0000-0003-1275-4101
Andrew Janco;0000-0002-8872-9474
Randa El Khatib;0000-0002-2480-4746
Anna-Maria Sichani;0000-0001-6778-4610
Brandon Hawk;0000-0002-5406-8807
Justin Colson;0000-0002-4352-2154
Adam Dennett;0000-0003-2742-5968
Beatrice Alex;0000-0002-7279-1476
Anouk Lang;0000-0001-9597-1026
Sarah Simpkin;0000-0003-0774-4777
Josh MacFadyen;0000-0002-1568-8843
Daniel Macfarlane;0000-0001-6268-8945
Finn Arne Jørgensen;0000-0003-3696-4189
Peter Webster;0000-0001-6801-0852
Abby Schreiber;0000-0003-2350-049X
Eric Weinberg;0000-0002-3311-1060
John Fink;0000-0001-5301-5626
Nancy Lemay;0000-0003-0311-5252
Jeff Blackadar;0000-0002-8160-0942
Simon Appleford;0000-0003-2192-7860
Oliver Duke-Williams;0000-0001-8050-1881
Jonathan Reeve;0000-0003-2827-1569
Ben Hurwitz;0000-0003-2670-6514
Gabi Kirilloff;0000-0003-2696-1419
Shawn Graham;0000-0002-2887-3554
Allison Hegel;0000-0001-7750-7246
Charlotte Tupman;0000-0002-4211-1062
Jonathan Blaney;0000-0002-5044-5038
Terhi Nurmikko-Fuller;0000-0002-0688-3006
Ted Dawson;0000-0002-9192-6233
Erin N. Bush;0000-0002-5958-9038
Lee Skallerup Bessette;0000-0002-0827-3420
Dave Rodriguez;0000-0001-9759-8464
Go Sugimoto;0000-0003-2646-6784
Amber Stubbs;0000-0001-6148-9290
Brianna Allen;0000-0002-0824-4048
Folgert Karsdorp;0000-0002-5958-0551
Jan Rybicki;0000-0003-2504-9372
Antonio Rojas Castro;0000-0002-8916-4997
Tassie Gniady;0000-0001-8693-3677
David Kloster;0000-0001-8577-8409
Kim Pham;0000-0002-9115-4739
Vilja Hulden;0000-0002-3812-7010
Francesca Benatti;0000-0002-1456-7812
Andrew Akhlaghi;0000-0002-0824-3328
Clemens Neudecker;0000-0001-5293-8322
Gustavo Candela;0000-0001-6122-0777
Jane Winters;0000-0001-5502-5887
Puteri Zarina Megat Khalid;0000-0002-9296-8662
Jeff Veitch;0000-0002-0287-7493
Grant Wythoff;0000-0002-6605-9596
Alex Brey;0000-0002-3201-8462
Peter Organisciak;0000-0002-9058-2280
Tessa C Hauswedell;0000-0002-0734-3538
Seth Bernstein;0000-0001-5116-3828
Jason Heppler;0000-0003-4158-6186
Charlie Harper;0000-0003-3781-5812
Ben Schmidt;0000-0002-8263-5485
Moritz Mähr;0000-0002-1367-1618
Caio Mello;0000-0001-7492-7237
Josir Cardoso Gomes;0000-0001-7629-1404
Bruno Ponne;0000-0002-3057-932X
Ian Araujo;0000-0001-6359-4991
Jimmy Medeiros;0000-0002-8280-3338
Joana Vieira Paulino;0000-0002-9433-2799
Luis Ferla;0000-0003-3617-2560
Felipe Lamarca;0000-0003-0002-3627
Bruno Martins;0000-0002-8102-9416
Renato Rocha Souza;0000-0002-1895-3905
João Gilberto Neves Saraiva;0000-0002-2094-8216
Rômulo Predes;0000-0001-9461-7834
Mariana Affonso Penna;0000-0001-5415-795X
Aracele Torres;0000-0002-5240-060X
Ivo Veiga;0000-0001-8385-3030
Romulo Predes;0000-0001-9461-7834
Suemi Higuchi;0000-0002-6255-3781
Samuel Van Ransbeeck;0000-0001-6959-6605
Juliana Marques da Silva;0000-0002-1637-8505
Jennifer Isasi;0000-0002-4295-895X
Victor Gayol;0000-0002-2442-3193
Riva Quiroga;0000-0002-1147-4135
Carlos Manuel Varón Castañeda;0000-0001-9581-5007
Basthian Medina;0000-0001-5822-5112
José Antonio Motilla;0000-0003-0591-5560
Maria José Afanador-Llach;0000-0003-2652-5799
Antonio Sánchez-Padial;0000-0001-9532-3133
María José Afanador-Llach;0000-0003-2652-5799
Víctor Gayol;0000-0002-2442-3193
Jairo A. Melo;0000-0002-8174-4524
Armando Luza;0000-0001-5679-7360
Ignacio Rodríguez;0000-0002-3752-9536
Joseba Moreno;0000-0002-6756-4404
Joshua Ortiz-Baco;0000-0002-9723-4262
José Calvo Tello;0000-0002-1129-5604
Andrés Gattinoni;0000-0001-6741-6746
Antonio Jesús Sánchez Padial;0000-0001-9532-3133
Joshua G. Ortiz Baco;0000-0002-9723-4262
Juan Cobo;0000-0003-4776-0261
Nicolás Vaughan;0000-0002-2877-0539
Rocío Méndez;0000-0002-8801-636X
Iñaki Cano;0000-0002-6678-7606
David Merino Recalde;0000-0003-2740-7831
María-Jesús Colmenero-Ruiz;0000-0002-1650-1091
Maria Jose Afanador;0000-0003-2652-5799
Anthony Picón Rodríguez;0000-0001-6765-4146
Miguel Cuadros;0000-0001-7526-1166
Gimena del Río Riande;0000-0002-8997-5415
Melissa Jerome;0000-0001-8251-7131
María Pilar Escobar;0000-0002-8977-7873
Manuel Marco Such;0000-0002-4145-0521
Gimena del Rio Riande;0000-0002-8997-5415
Romina De León;0000-0003-2495-7213
Raffaele Viglianti;0000-0003-3094-139X
Kahlila Chaar-Pérez;0000-0001-7038-5450
Mathilda Shepard;0000-0002-3416-448X
Ulrike Henny-Krahmer;0000-0003-2852-065X
Marcelo Raimundo;0000-0002-0200-6399
