pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer
Sylvia Fernández Quintanilla;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;0;0
Jonathan Reeve;24/07/2016;24/07/2016;0;0;1;0;0;1;0;0;0;0;0
M. H. Beals;20/09/2014;24/07/2016;2;0;4;0;0;1;3;0;0;0;0
Ben Hurwitz;06/05/2013;06/05/2013;0;0;1;0;0;0;1;0;0;0;0
Gabi Kirilloff;04/12/2021;04/12/2021;0;0;1;0;0;1;0;0;0;0;0
Brandee Easter;04/12/2021;04/12/2021;0;0;1;0;0;0;1;0;0;0;0
Shawn Graham;02/09/2012;04/12/2021;9;0;6;0;0;3;3;0;0;0;0
Allison Hegel;20/09/2014;20/09/2014;0;0;2;0;0;0;2;0;0;0;0
Charlotte Tupman;20/09/2014;20/09/2014;0;0;1;0;0;0;1;0;0;0;0
Jonathan Blaney;07/07/2016;07/05/2017;1;0;2;0;0;1;1;0;0;0;0
Terhi Nurmikko-Fuller;07/05/2017;07/05/2017;0;0;1;0;0;0;1;0;0;0;0
Ted Dawson;21/07/2016;21/07/2016;0;0;1;0;0;1;0;0;0;0;0
Erin N. Bush;21/07/2016;24/04/2017;1;0;2;0;0;0;2;0;0;0;0
Derek Price;21/07/2016;21/07/2016;0;0;1;0;0;0;1;0;0;0;0
Lee Skallerup Bessette;29/08/2017;29/08/2017;0;0;1;0;0;0;1;0;0;0;0
Dave Rodriguez;20/12/2018;11/12/2020;2;0;1;0;1;1;0;0;1;0;0
Tesla Cariani;20/12/2018;20/12/2018;0;0;1;0;0;0;1;0;0;0;0
Josh Romphf;20/12/2018;20/12/2018;0;0;1;0;0;0;1;0;0;0;0
Go Sugimoto;22/05/2019;22/05/2019;0;0;1;0;0;1;0;0;0;0;0
Amber Stubbs;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;0;0
Brianna Allen;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;0;0
Folgert Karsdorp;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;0;0
Jan Rybicki;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;0;0
Antonio Rojas Castro;15/03/2017;11/12/2020;3;0;1;0;45;0;2;1;1;14;28
Tassie Gniady;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;0;0
David Kloster;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;0;0
Kim Pham;29/08/2017;29/08/2017;0;0;1;0;0;1;0;0;0;0;0
Vilja Hulden;17/12/2014;17/12/2014;0;0;1;0;0;1;0;0;0;0;0
Francesca Benatti;17/07/2012;17/07/2012;0;0;1;0;0;0;1;0;0;0;0
Andrew Akhlaghi;06/01/2021;06/01/2021;0;0;1;0;0;1;0;0;0;0;0
Clemens Neudecker;06/01/2021;06/01/2021;0;0;1;0;0;0;1;0;0;0;0
Gustavo Candela;06/01/2021;30/08/2021;0;0;1;0;1;1;1;0;0;0;0
Jane Winters;30/04/2014;30/04/2014;0;0;1;0;0;0;1;0;0;0;0
Taryn Dewar;05/09/2016;05/09/2016;0;0;1;0;0;1;0;0;0;0;0
"Zo&#235; Wilkinson Salda&#241;a";15/01/2018;15/01/2018;0;0;1;0;0;1;0;0;0;0;0
Puteri Zarina Megat Khalid;15/01/2018;15/01/2018;0;0;1;0;0;0;1;0;0;0;0
Jeff Veitch;07/06/2016;07/06/2016;0;0;1;0;0;0;1;0;0;0;0
Tim Compeau;07/06/2016;07/06/2016;0;0;1;0;0;0;1;0;0;0;0
Dennis Tenen;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;0;0
Grant Wythoff;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;0;0
Alex Brey;04/11/2018;04/11/2018;0;0;1;0;0;1;0;0;0;0;0
Peter Organisciak;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;0;0
Boris Capitanu;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;0;0
Stéfan Sinclair;22/11/2016;22/11/2016;0;0;1;0;0;0;1;0;0;0;0
Alan MacEachern;02/09/2012;02/09/2012;0;0;1;0;0;0;1;0;0;0;0
Tessa C Hauswedell;07/07/2016;07/07/2016;0;0;1;0;0;0;1;0;0;0;0
Seth Bernstein;04/10/2013;04/10/2013;0;0;1;0;0;1;0;0;0;0;0
Michelle Moravec;04/10/2013;04/10/2013;0;0;1;0;0;0;1;0;0;0;0
Ezra Brooks;04/10/2013;04/10/2013;0;0;1;0;0;0;1;0;0;0;0
Russell Alleen-Willems;04/10/2013;04/10/2013;0;0;1;0;0;0;1;0;0;0;0
Doug Knox;22/06/2013;22/06/2013;0;0;1;0;0;1;0;0;0;0;0
Dave Shepard;22/06/2013;22/06/2013;0;0;1;0;0;0;1;0;0;0;0
Stephanie J. Richmond;24/04/2017;24/04/2017;0;0;1;0;0;1;0;0;0;0;0
Tommy Tavenner;24/04/2017;24/04/2017;0;0;1;0;0;1;0;0;0;0;0
Jason Heppler;24/04/2017;24/04/2017;0;0;1;0;0;0;1;0;0;0;0
Charlie Harper;27/07/2018;27/07/2018;0;0;1;0;0;1;0;0;0;0;0
Ben Schmidt;27/07/2018;27/07/2018;0;0;1;0;0;0;1;0;0;0;0
Moritz Mähr;30/01/2020;30/01/2020;0;0;1;0;0;1;0;0;0;0;0
Jack Pay;30/01/2020;30/01/2020;0;0;1;0;0;0;1;0;0;0;0
Caio Mello;14/06/2021;14/06/2021;0;0;0;1;0;0;0;0;1;0;0
Josir Cardoso Gomes;26/03/2021;14/06/2021;0;0;0;3;0;0;0;0;0;2;1
Bruno Ponne;14/06/2021;14/06/2021;0;0;0;1;0;0;0;0;0;0;1
Ian Araujo;14/06/2021;02/03/2022;1;0;0;4;0;0;0;0;0;0;4
Diana Rebelo Rodriguez;13/07/2021;02/03/2022;1;0;0;4;0;0;0;0;4;0;0
Jimmy Medeiros;26/03/2021;02/03/2022;1;0;0;10;0;0;0;0;0;10;0
Ana Giulia Aldgeire;19/11/2021;02/03/2022;1;0;0;2;0;0;0;0;0;0;2
Rafael Laguardia;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;1;0;0
Joana Vieira Paulino;29/01/2021;13/01/2022;1;0;0;6;0;0;0;0;0;3;3
Luis Ferla;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;0;0;1
Ana Alcântara;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;0;0;1
Felipe Lamarca;26/03/2021;13/01/2022;1;0;0;7;0;0;0;0;4;0;3
Daniel Bonatto Seco;17/12/2021;18/12/2021;0;0;0;2;0;0;0;0;0;0;2
Ana Carolina Erthal;13/01/2022;13/01/2022;0;0;0;1;0;0;0;0;0;0;1
Gabriela Kucuruza;26/03/2021;02/07/2021;0;0;0;3;0;0;0;0;3;0;0
Daniel Alves;26/03/2021;02/07/2021;0;0;0;3;0;0;0;0;0;2;1
Danielle Sanches;12/05/2021;02/07/2021;0;0;0;7;0;0;0;0;0;6;1
Bruno Gasparotto Ponne;26/03/2021;26/03/2021;0;0;0;1;0;0;0;0;1;0;0
Josir C. Gomes;13/05/2021;13/05/2021;0;0;0;4;0;0;0;0;4;0;0
Bruno Martins;30/03/2021;13/05/2021;0;0;0;7;0;0;0;0;0;0;7
Renato Rocha Souza;13/05/2021;13/05/2021;0;0;0;5;0;0;0;0;0;0;5
João Gilberto Neves Saraiva;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;1;0;0
Ângela Pité;07/06/2021;07/06/2021;0;0;0;1;0;0;0;0;0;0;1
Rômulo Predes;12/05/2021;13/07/2021;0;0;0;3;0;0;0;0;0;0;3
Mariana Affonso Penna;10/09/2021;10/09/2021;0;0;0;1;0;0;0;0;1;0;0
Aracele Torres;12/05/2021;13/05/2021;0;0;0;2;0;0;0;0;2;0;0
Ivo Veiga;21/05/2021;28/08/2021;0;0;0;2;0;0;0;0;0;0;2
Romulo Predes;28/08/2021;28/08/2021;0;0;0;1;0;0;0;0;0;0;1
Márcia T. Cavalcanti;29/01/2021;29/01/2021;0;0;0;1;0;0;0;0;1;0;0
Maria Guedes;29/01/2021;13/07/2021;0;0;0;2;0;0;0;0;0;0;2
Elizabeth Freire;29/01/2021;29/01/2021;0;0;0;1;0;0;0;0;0;0;1
Suemi Higuchi;21/05/2021;21/05/2021;0;0;0;1;0;0;0;0;0;0;1
Samuel Van Ransbeeck;26/03/2021;26/03/2021;0;0;0;1;0;0;0;0;0;0;1
Juliana Marques da Silva;26/03/2021;26/03/2021;0;0;0;1;0;0;0;0;0;0;1
Jennifer Isasi;15/03/2018;16/11/2021;3;0;0;0;19;1;3;4;4;2;5
Victor Gayol;02/06/2018;05/06/2020;2;0;0;0;4;0;0;0;1;2;1
Riva Quiroga;13/05/2018;11/04/2022;4;0;0;0;7;0;2;1;1;0;3
Carlos Manuel Varón Castañeda;04/05/2018;04/05/2018;0;0;0;0;1;0;0;0;1;0;0
Basthian Medina;28/06/2021;11/04/2022;1;0;0;0;2;0;1;0;1;0;0
José Antonio Motilla;26/04/2017;11/04/2022;5;0;0;0;10;0;1;1;1;2;5
Silvia Gutiérrez;02/06/2018;11/04/2022;4;0;0;0;2;0;0;0;0;0;2
Maria José Afanador-Llach;15/03/2017;30/08/2021;4;0;0;0;32;0;0;3;2;6;21
Gabriela Elgarrista;23/04/2019;23/04/2019;0;0;0;0;1;0;0;0;0;0;1
Antonio Sánchez-Padial;13/05/2018;23/04/2019;1;0;0;0;2;0;0;0;0;0;2
Silvia Gutiérrez De la Torre;20/04/2019;30/08/2021;2;0;0;0;2;1;1;0;0;0;0
Daniela Ávido;20/04/2019;20/04/2019;0;0;0;0;1;0;1;0;0;0;0
Jairo Antonio Melo Flórez;30/03/2020;30/03/2020;0;0;0;0;1;1;0;0;0;0;0
María José Afanador-Llach;30/03/2020;30/03/2020;0;0;0;0;1;0;1;0;0;0;0
Víctor Gayol;15/03/2017;30/08/2021;4;0;0;0;28;0;1;0;24;1;2
Jairo A. Melo;15/03/2017;07/10/2017;0;0;0;0;20;0;0;0;1;0;19
Armando Luza;01/04/2019;01/04/2019;0;0;0;0;1;1;0;0;0;0;0
Ignacio Rodríguez;01/04/2019;01/04/2019;0;0;0;0;1;0;1;0;0;0;0
María José Cabra Montes;23/04/2018;23/04/2018;0;0;0;0;1;0;0;0;1;0;0
Joseba Moreno;23/04/2018;20/08/2018;0;0;0;0;2;0;0;0;0;0;2
Juan Camilo Murcia;14/10/2017;14/10/2017;0;0;0;0;1;0;0;0;0;0;1
Joshua Ortiz-Baco;29/11/2018;29/11/2018;0;0;0;0;1;0;0;0;0;0;1
Lorena Campuzano;05/06/2020;05/06/2020;0;0;0;0;1;0;0;0;1;0;0
Jairo Melo;05/06/2020;05/06/2020;0;0;0;0;1;0;0;0;0;0;1
Camilo Murcia Galindo;05/06/2020;05/06/2020;0;0;0;0;1;0;0;0;0;0;1
José Calvo Tello;20/04/2017;20/04/2017;0;0;0;0;1;0;0;0;0;0;1
Andrés Gattinoni;15/03/2018;15/03/2018;0;0;0;0;1;0;0;0;1;0;0
Antonio Jesús Sánchez Padial;29/07/2017;29/07/2017;0;0;0;0;1;0;0;0;0;0;1
Sebastian Fiori;11/12/2020;11/12/2020;0;0;0;0;1;0;0;0;1;0;0
Joshua G. Ortiz Baco;31/10/2018;14/12/2021;3;0;0;0;4;1;0;1;0;1;1
Adriana Cásarez;12/05/2020;12/05/2020;0;0;0;0;1;0;1;0;0;0;0
Juan Cobo;31/07/2017;31/07/2017;0;0;0;0;1;0;0;0;0;0;1
Nicolás Vaughan;27/07/2021;16/11/2021;0;0;0;0;2;2;0;0;0;0;0
Rocío Méndez;27/07/2021;27/07/2021;0;0;0;0;1;0;1;0;0;0;0
Iñaki Cano;27/07/2021;27/07/2021;0;0;0;0;1;0;1;0;0;0;0
David Merino Recalde;16/11/2021;16/11/2021;0;0;0;0;1;0;1;0;0;0;0
Rosa María Muñoz Mendo;16/11/2021;16/11/2021;0;0;0;0;1;0;1;0;0;0;0
María-Jesús Colmenero-Ruiz;17/05/2017;02/06/2018;1;0;0;0;2;0;0;0;2;0;0
Maria Jose Afanador;02/06/2018;02/06/2018;0;0;0;0;1;0;0;0;0;0;1
Anthony Picón Rodríguez;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;0;0
Miguel Cuadros;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;0;0
José Luis Losada;11/07/2020;11/07/2020;0;0;0;0;1;0;1;0;0;0;0
Luisina Silva;17/05/2017;17/05/2017;0;0;0;0;1;0;0;0;0;0;1
Carlos Loz;07/10/2017;07/10/2017;0;0;0;0;1;0;0;0;0;0;1
Alicia Calvo;26/04/2017;26/04/2017;0;0;0;0;1;0;0;0;0;0;1
Gabriel Calarco;01/03/2021;14/12/2021;0;0;0;0;2;1;0;0;1;0;0
Gimena del Río Riande;14/12/2021;14/12/2021;0;0;0;0;1;1;0;0;0;0;0
Melissa Jerome;14/12/2021;14/12/2021;0;0;0;0;1;0;1;0;0;0;0
Aldo Barriente;14/12/2021;14/12/2021;0;0;0;0;1;0;1;0;0;0;0
María Dolores Sáez;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0
María Pilar Escobar;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0
Manuel Marco Such;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0
HD CAICYT Lab team;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0
Gimena del Rio Riande;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0
Nidia Hernández;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0
Romina De León;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0
Raffaele Viglianti;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0
Kahlila Chaar-Pérez;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;0;0;1
Mathilda Shepard;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;0;0;1
Ulrike Henny-Krahmer;31/10/2018;31/10/2018;0;0;0;0;1;0;0;0;1;0;0
Pedro Carrillo;02/08/2018;02/08/2018;0;0;0;0;1;0;0;0;0;0;1
Marcelo Raimundo;28/06/2021;28/06/2021;0;0;0;0;1;1;0;0;0;0;0
